"","schoolname","schoolcode","sssdistrict","ssslong","ssslat"
"161","KUMASI HIGH SCHOOL, ATONSU GYENASE",50111,"Kumasi Metro",-1.59718716144562,6.68205976486206
"162","T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,"Kumasi Metro",-1.59718716144562,6.68205976486206
"163","NEW JUABEN SENIOR HIGH./COMM. SCH., KOFORIDUA",20103,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"164","FIJAI SENIOR HIGH. SCHOOL, SEKONDI",40105,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"165","KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE",21501,"Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"166","MAWULI SENIOR HIGH. SCHOOL, HO",70102,"Ho Municipal",0.526142239570618,6.71760702133179
"167","GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"168","KSI WESLEY GIRLS' HIGH SCHOOL, KUMASI",50114,"Kumasi Metro",-1.59718716144562,6.68205976486206
"169","AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,"Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"170","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,"Tema",-0.0500882156193256,5.69031476974487
"171","SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,"Sunyani",-2.3274233341217,7.34467792510986
"172","KUMASI ACADEMY, ASOKORE MAMPONG",50105,"Kumasi Metro",-1.59718716144562,6.68205976486206
"173","APAM SENIOR HIGH SCHOOL, APAM",30501,"Gomoa (Apam)",-0.723635494709015,5.40456104278564
"174","APAM SENIOR HIGH SCHOOL, APAM",30501,"Gomoa (Apam)",-0.723635494709015,5.40456104278564
"175","SWEDRU SENIOR HIGH SCHOOL, SWEDRU",30905,"Agona Swedru",-0.755242526531219,5.61735343933105
"176","NOTRE DAME GIRLS SENIOR HIGH. SCHOOL, SUNYANI",60107,"Sunyani",-2.3274233341217,7.34467792510986
"177","KOFORIDUA SENIOR HIGH./TECH. SCH., KOFORIDUA",20101,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"178","WESLEY GRAMMAR SCHOOL, DANSOMAN",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563
